Year,Elevation,Quantity (Kg),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,2022-2
2013-03,Medium,5582222.95,,,,,,,,,,,,,,,
2013-03,Low,19361765.75,,,,,,,,,,,,,,,
2013-03,Total,32746539.2,,,,,,,,,,,,,,,
2013-04,High,8683402.7,,,,,,,,,,,,,,,
2013-04,Medium,6316905.7,,,,,,,,,,,,,,,
2013-04,Low,18865238.0,,,,,,,,,,,,,,,
2013-04,Total,33865546.4,,,,,,,,,,,,,,,
2013-05,High,8283202.32,,,,,,,,,,,,,,,
2013-05,Medium,6074423.5,,,,,,,,,,,,,,,
2013-05,Low,19296436.5,,,,,,,,,,,,,,,
2013-05,Total,33654062.32,,,,,,,,,,,,,,,
2013-06,High,4645218.55,,,,,,,,,,,,,,,
2013-06,Medium,4123825.9,,,,,,,,,,,,,,,
2013-06,Low,16102139.3,,,,,,,,,,,,,,,
2013-06,Total,24871183.76,,,,,,,,,,,,,,,
2013-07,High,3289154.9,,,,,,,,,,,,,,,
2013-07,Medium,3319741.75,,,,,,,,,,,,,,,
2013-07,Low,16027189.54,,,,,,,,,,,,,,,
2013-07,Total,22636086.19,,,,,,,,,,,,,,,
2013-08,High,5317181.76,,,,,,,,,,,,,,,
2013-08,Medium,4365973.95,,,,,,,,,,,,,,,
2013-08,Low,16910903.26,,,,,,,,,,,,,,,
2013-08,Total,26594058.97,,,,,,,,,,,,,,,
2013-09,High,5862577.0,,,,,,,,,,,,,,,
2013-09,Medium,4007956.5,,,,,,,,,,,,,,,
2013-09,Low,15319407.17,,,,,,,,,,,,,,,
2013-09,Total,25189940.67,,,,,,,,,,,,,,,
2013-10,High,6247353.54,,,,,,,,,,,,,,,
2013-10,Medium,4837279.91,,,,,,,,,,,,,,,
2013-10,Low,19472377.54,,,,,,,,,,,,,,,
2013-10,Total,30557010.99,,,,,,,,,,,,,,,
2013-11,High,7534441.13,,,,,,,,,,,,,,,
2013-11,Medium,5206138.86,,,,,,,,,,,,,,,
2013-11,Low,17993244.53,,,,,,,,,,,,,,,
2013-11,Total,30733824.52,,,,,,,,,,,,,,,
2013-12,High,6448543.64,,,,,,,,,,,,,,,
2013-12,Medium,4889753.8,,,,,,,,,,,,,,,
2013-12,Low,18916239.46,,,,,,,,,,,,,,,
2013-12,Total,30254536.9,,,,,,,,,,,,,,,
2014-01,High,6385873.0,,,,,,,,,,,,,,,
2014-01,Medium,3737903.0,,,,,,,,,,,,,,,
2014-01,Low,15392821.0,,,,,,,,,,,,,,,
