Year,Category,Package Type,Quantity (Kg),Price (Rs.)
2014-07,,Sub Total,247660.0,1081.37
2014-07,,Total Exports,28899297.0,634.1
2014-07,RTD,RTD ( in Ltrs),960.0,935.27
2014-08,Black,Bags,2361827.0,1101.24
2014-08,,Bulk,11435670.0,585.47
2014-08,,Packets (4g - 1kg),7179771.0,651.87
2014-08,,Packets (1kg - 3kg),308093.0,613.77
2014-08,,Packets (3kg - 5kg),1439656.0,602.87
2014-08,,Packets (5kg - 10kg),3589533.0,529.13
2014-08,,Sub Total,26314550.0,643.48
2014-08,Green,Bags,89787.0,1800.94
2014-08,,Bulk,81823.0,658.65
2014-08,,Packets (4g - 1kg),64034.0,1329.17
2014-08,,Packets (1kg - 3kg),0.0,0.0
2014-08,,Packets (3kg - 5kg),130.0,1471.33
2014-08,,Packets (5kg - 10kg),2450.0,1364.19
2014-08,,Sub Total,238224.0,1277.11
2014-08,Instant,Bags,0.0,0.0
2014-08,,Packets (4g - 1kg),6.0,15795.17
2014-08,,Packets (>3kg),131829.0,1109.06
2014-08,,Sub Total,131835.0,1109.73
2014-08,,Total Exports,26684609.0,651.44
2014-08,RTD,RTD ( in Ltrs),0.0,0.0
2014-08,,Sub Total,0.0,0.0
2014-09,Black,Bags,2053461.0,1112.18
2014-09,,Bulk,10676829.0,572.47
2014-09,,Packets (4g - 1kg),7687989.0,648.51
2014-09,,Packets (1kg - 3kg),214530.0,804.23
2014-09,,Packets (3kg - 5kg),1526261.0,566.53
2014-09,,Packets (5kg - 10kg),3399915.0,510.33
2014-09,,Sub Total,25558985.0,632.03
2014-09,Green,Bags,74516.0,2079.42
2014-09,,Bulk,78209.0,605.4
2014-09,,Packets (4g - 1kg),76922.0,1364.1
2014-09,,Packets (1kg - 3kg),250.0,1288.62
2014-09,,Packets (3kg - 5kg),0.0,0.0
2014-09,,Packets (5kg - 10kg),1440.0,1281.82
2014-09,,Sub Total,231337.0,1337.42
2014-09,Instant,Bags,0.0,0.0
2014-09,,Packets (4g - 1kg),63.0,2695.19
2014-09,,Packets (>3kg),201600.0,1050.68
2014-09,,Sub Total,201663.0,1051.19
2014-09,,Total Exports (Without RTD),25991985.0,641.56
2014-09,RTD,RTD ( Liters ),0.0,0.0
2014-09,,Sub Total,0.0,0.0
2014-10,Black,Bags,2200382.0,1094.54
2014-10,,Bulk,11684899.0,577.22
2014-10,,Packets (4g - 1kg),7543263.0,616.87
2014-10,,Packets (1kg - 3kg),272117.0,773.39
2014-10,,Packets (3kg - 5kg),1070107.0,528.73
2014-10,,Packets (5kg - 10kg),3205805.0,507.92
2014-10,,Sub Total,25976573.0,624.06
2014-10,Green,Bags,68047.0,1744.17
2014-10,,Bulk,80067.0,598.66
2014-10,,Packets (4g - 1kg),74712.0,1270.31
2014-10,,Packets (1kg - 3kg),0.0,0.0
2014-10,,Packets (3kg - 5kg),28.0,1205.21
2014-10,,Packets (5kg - 10kg),504.0,1342.76
2014-10,,Sub Total,223358.0,1174.06
2014-10,Instant,Bags,0.0,0.0
2014-10,,Packets (4g - 1kg),15.0,2194.6
2014-10,,Packets (>3kg),226754.0,1095.08
2014-10,,Sub Total,226769.0,1095.15
2014-10,,Total Exports,26426700.0,632.75
2014-10,RTD,RTD ( in Ltrs),0.0,0.0
2014-10,,Sub Total,0.0,0.0
2014-11,Black,Bags,2106152.0,1130.78
2014-11,,Bulk,10235526.0,550.01
2014-11,,Packets (4g - 1kg),8513696.0,612.97
2014-11,,Packets (1kg - 3kg),243528.0,797.73
2014-11,,Packets (3kg - 5kg),1913129.0,533.23
2014-11,,Packets (5kg - 10kg),4614307.0,479.64
2014-11,,Sub Total,27626338.0,602.99
2014-11,Green,Bags,73905.0,1953.47
2014-11,,Bulk,117460.0,601.56
2014-11,,Packets (4g - 1kg),94870.0,1397.02
2014-11,,Packets (3kg - 5kg),35.0,1512.89
2014-11,,Packets (5kg - 10kg),2580.0,921.91
2014-11,,Sub Total,288850.0,1211.69
2014-11,Instant,Packets (4g - 1kg),135.0,3608.43
2014-11,,Packets (>3kg),193847.0,1045.42
2014-11,,Sub Total,193982.0,1047.2
2014-11,,Total Exports (Without RTD),28109170.0,612.31
2014-11,RTD,RTD ( Liters ),140.0,2030.4
2014-11,,Sub Total,140.0,2030.4
2014-11,,,28964895.0,621.91
2014-12,Black,Bags,1844361.0,1117.04
2014-12,,Bulk,10975298.0,560.53
2014-12,,Packets (4g - 1kg),9536594.0,591.25
2014-12,,Packets (1kg - 3kg),171395.0,894.5
2014-12,,Packets (3kg - 5kg),1783980.0,524.0
2014-12,,Packets (5kg - 10kg),4148322.0,523.6
2014-12,,Sub Total,28459950.0,601.23
2014-12,Green,Bags,51492.0,2006.01
2014-12,,Bulk,91598.0,639.61
2014-12,,Packets (4g - 1kg),56957.0,1572.09
2014-12,,Packets (1kg - 3kg),170.0,1942.9
2014-12,,Packets (3kg - 5kg),110.0,1963.45
2014-12,,Packets (5kg - 10kg),50.0,821.72
2014-12,,Sub Total,200377.0,1257.68
2014-12,Instant,Packets (>3kg),212451.0,1037.46
2014-12,,Packets (4g - 1kg),310.0,538.07
2014-12,,Sub Total,212761.0,1036.73
2014-12,,Total Exports (Without RTD),28873088.0,608.99
2015-01,Black,Bags,1537634.99,1103.86
2015-01,,Bulk,10283987.13,549.25
2015-01,,Packets (4g - 1kg),6845154.33,598.38
2015-01,,Packets (1kg - 3kg),77261.48,705.46
2015-01,,Packets (3kg - 5kg),1210961.8,506.73
2015-01,,Packets (5kg - 10kg),3563658.0,523.92
2015-01,,Sub Total,23518657.73,594.3
2015-01,Green,Bags,48754.69,2060.42
2015-01,,Bulk,45922.0,683.09
2015-01,,Packets (4g - 1kg),49461.49,1290.36
2015-01,,Packets (3kg - 5kg),20.0,1309.25
2015-01,,Packets (5kg - 10kg),1040.0,804.87
2015-01,,Sub Total,145198.18,1353.39
2015-01,Instant,Packets (>3kg),200249.76,1056.38
2015-01,,Sub Total,200249.76,1056.38
2015-01,,Total Exports (Without RTD),23864105.67,602.79
2015-01,,,24480795.2,609.95
2015-02,Black,Bags,1635996.77,1103.58
2015-02,,Bulk,9218918.82,535.0
2015-02,,Packets (4g - 1kg),6457898.47,616.82
2015-02,,Packets (1kg - 3kg),88632.95,660.13
2015-02,,Packets (3kg - 5kg),1655125.8,548.82
2015-02,,Packets (5kg - 10kg),3462845.0,470.33
2015-02,,Sub Total,22519417.81,591.33
2015-02,Green,Bags,60237.35,2283.2
2015-02,,Bulk,76645.0,637.37
2015-02,,Packets (4g - 1kg),60239.6,1314.21
2015-02,,Packets (5kg - 10kg),3500.0,573.71
2015-02,,Sub Total,200621.95,1333.65
2015-02,Instant,Packets (>3kg),180010.0,1031.07
2015-02,,Packets (4g - 1kg),580.0,856.87
2015-02,,Sub Total,180590.0,1030.51
2015-02,,Total Exports (Without RTD),22900629.76,601.3
2015-02,,,23551748.49,610.92
2015-03,Black,Bags,1738208.81,1077.86
2015-03,,Bulk,10237029.14,519.61
2015-03,,Packets (4g - 1kg),6933261.0,589.78
2015-03,,Packets (1kg - 3kg),257089.56,698.45
2015-03,,Packets (3kg - 5kg),1873973.5,550.34
2015-03,,Packets (5kg - 10kg),3073051.0,503.33
2015-03,,Sub Total,24112613.01,582.25
2015-03,Green,Bags,43979.94,2041.73
2015-03,,Bulk,94675.0,610.83
2015-03,,Packets (4g - 1kg),47392.82,1104.3
2015-03,,Packets (3kg - 5kg),170.0,2041.78
2015-03,,Packets (5kg - 10kg),3390.0,1029.01
2015-03,,Sub Total,189607.76,1074.83
2015-03,Instant,Packets (>3kg),85248.0,1008.02
2015-03,,Sub Total,85248.0,1008.02
2015-03,,Total Exports (Without RTD),24387468.77,587.57
2015-03,,,25179386.05,598.64
2015-04,Black,Bags,1272944.13,1103.99
2015-04,,Bulk,9721039.27,524.76
2015-04,,Packets (4g - 1kg),6688486.01,577.72
2015-04,,Packets (1kg - 3kg),251289.47,613.32
2015-04,,Packets (3kg - 5kg),1502565.05,530.36
2015-04,,Packets (5kg - 10kg),2599832.5,510.68
2015-04,,Sub Total,22036156.43,574.02
2015-04,Green,Bags,75680.04,1643.23
2015-04,,Bulk,57900.0,597.81
2015-04,,Packets (4g - 1kg),51707.99,1243.7
2015-04,,Packets (3kg - 5kg),155.0,2072.82
2015-04,,Packets (5kg - 10kg),2215.0,1093.43
2015-04,,Sub Total,187658.03,1204.45
2015-04,Instant,Packets (>3kg),205045.2,983.74
2015-04,,Sub Total,205045.2,983.74
2015-04,,Total Exports (Without RTD),22428859.66,583.05
2015-04,,,22924146.77,591.52
2015-05,Black,Bags,1861930.68,1097.45
2015-05,,Bulk,12281496.36,520.98
2015-05,,Packets (4g - 1kg),7236071.5,601.5
2015-05,,Packets (1kg - 3kg),162182.68,795.01
2015-05,,Packets (3kg - 5kg),1430474.0,535.33
2015-05,,Packets (5kg - 10kg),3496067.0,470.43
2015-05,,Sub Total,26468222.22,579.32
2015-05,Green,Bags,49309.85,2051.83
2015-05,,Bulk,95740.0,647.53
2015-05,,Packets (4g - 1kg),56714.96,1160.59
2015-05,,Packets (1kg - 3kg),50.0,1016.96
2015-05,,Packets (3kg - 5kg),100.0,2443.97
2015-05,,Packets (5kg - 10kg),19200.0,610.84
2015-05,,Sub Total,221114.81,1090.0
2015-05,Instant,Packets (>3kg),197304.0,973.12
2015-05,,Sub Total,197304.0,973.12
2015-05,,Total Exports (Without RTD),26886641.03,586.41
2015-05,,,27617555.7,597.39
2015-06,Black,Bags,1848313.51,1091.89
2015-06,,Bulk,12080436.0,515.72
2015-06,,Packets (4g - 1kg),7203027.53,579.61
2015-06,,Packets (1kg - 3kg),192939.76,783.95
2015-06,,Packets (3kg - 5kg),1685268.0,552.89
2015-06,,Packets (5kg - 10kg),3733927.58,459.79
2015-06,,Sub Total,26743912.38,569.22
2015-06,Green,Bags,52385.07,1824.99
2015-06,,Bulk,80538.0,694.55
2015-06,,Packets (4g - 1kg),56664.85,1098.08
2015-06,,Packets (1kg - 3kg),6.0,2564.83
2015-06,,Packets (5kg - 10kg),2340.25,1390.75
2015-06,,Sub Total,191934.17,1130.77
2015-06,Instant,Packets (>3kg),193020.17,1047.49
2015-06,,Sub Total,193020.17,1047.49
2015-06,,Total Exports (Without RTD),27128866.72,576.59
2015-06,RTD,RTD ( Liters ),122.4,231.69
2015-06,,Sub Total,122.4,231.69
2015-06,,,27792817.42,587.5
2015-07,Black,Bags,1848372.89,1142.38
2015-07,,Bulk,13148595.63,511.14
2015-07,,Packets (4g - 1kg),7304008.87,588.47
2015-07,,Packets (1kg - 3kg),294324.15,571.52
2015-07,Black,Bags,3022142.14,294.565
2015-07,,Bulk,1971468.842,131.04
2015-07,,Sub Total,27624298.98,571.57
2015-07,Green,Bags,57763.07,1965.89
2015-07,,Bulk,80852.0,654.54
2015-07,,Packets (4g - 1kg),61511.24,1169.36
2015-07,,Packets (5kg - 10kg),966.0,536.54
2015-07,,Sub Total,201092.31,1188.13
2015-07,Instant,Packets (>3kg),164248.14,988.69
2015-07,,Sub Total,164248.14,988.69
2015-07,,Total Exports (Without RTD),27989639.43,578.45
2015-07,,,28736866.91,588.56
2015-08,Black,Bags,1229633.96,1236.71
2015-08,,Bulk,9564689.97,488.05
2015-08,,Packets (4g - 1kg),5508782.94,603.74
2015-08,,Packets (1kg - 3kg),127362.02,727.5
2015-08,,Packets (3kg - 5kg),1247651.0,485.78
2015-08,,Packets (5kg - 10kg),2692805.5,465.12
2015-08,,Sub Total,20370925.39,562.85
2015-08,Green,Bags,58091.4,2156.9
2015-08,,Bulk,98835.0,613.79
2015-08,,Packets (4g - 1kg),61831.5,1087.02
2015-08,,Packets (5kg - 10kg),490.0,1160.2
2015-08,,Sub Total,219247.9,1157.33
2015-08,Instant,Packets (>3kg),93382.8,990.59
2015-08,,Packets (4g - 1kg),62.4,676.06
2015-08,,Sub Total,93445.2,990.38
2015-08,,Total Exports (Without RTD),20683618.49,571.09
2015-08,,,21187890.81,579.86
2015-09,Black,Bags,1510637.03,1273.54
2015-09,,Bulk,11150862.33,509.68
2015-09,,Packets (4g - 1kg),6422461.61,605.94
2015-09,,Packets (1kg - 3kg),164102.97,694.07
2015-09,,Packets (3kg - 5kg),1117407.0,516.58
2015-09,,Packets (5kg - 10kg),3201342.0,467.37
2015-09,,Sub Total,23566812.94,580.74
2015-09,Green,Bags,51440.84,2738.73
2015-09,,Bulk,108585.0,623.6
2015-09,,Packets (4g - 1kg),77049.1,1289.57
2015-09,,Packets (3kg - 5kg),1125.0,1977.09
2015-09,,Packets (5kg - 10kg),600.0,1519.1
2015-09,,Sub Total,238799.94,1302.73
2015-09,Instant,Packets (4g - 1kg),124.8,696.35
2015-09,,Packets (>3kg),120174.9,1022.54
2015-09,,Sub Total,120299.7,1022.2
2015-09,,Total Exports (Without RTD),23925912.58,590.16
2015-09,,,24626243.54,599.5
2015-10,Black,Bags,1693342.19,1183.95
2015-10,,Bulk,12122162.37,504.67
2015-10,,Packets (4g - 1kg),7657725.34,567.98
2015-10,,Packets (1kg - 3kg),135350.06,678.66
2015-10,,Packets (3kg - 5kg),2200738.0,496.47
2015-10,,Packets (5kg - 10kg),4048150.0,465.73
2015-10,,Sub Total,27857467.96,557.9
2015-10,Green,Bags,54518.96,2373.59
2015-10,,Bulk,80630.0,630.01
2015-10,,Packets (4g - 1kg),82443.7,1312.25
2015-10,,Packets (1kg - 3kg),4320.0,871.82
2015-10,,Packets (3kg - 5kg),174.8,815.5
2015-10,,Packets (5kg - 10kg),3150.0,1188.88
2015-10,,Sub Total,225237.46,1314.37
2015-10,Instant,Packets (>3kg),203102.2,1092.69
2015-10,,Sub Total,203102.2,1092.69
2015-10,,Total Exports (Without RTD),28285807.62,567.77
2015-10,,,29037320.47,578.83
2015-11,Black,Bags,1558534.41,1209.62
2015-11,,Bulk,11944612.39,498.97
2015-11,,Packets (4g - 1kg),6754191.84,581.72
2015-11,,Packets (1kg - 3kg),119007.61,590.48
2015-11,,Packets (3kg - 5kg),1811994.0,491.09
2015-11,,Packets (5kg - 10kg),3119565.78,487.48
2015-11,,Sub Total,25307906.03,563.27
2015-11,Green,Bags,46258.65,2683.3
2015-11,,Bulk,100755.0,644.94
2015-11,,Packets (4g - 1kg),46515.73,1333.73
2015-11,,Packets (1kg - 3kg),12.0,2235.25
2015-11,,Packets (3kg - 5kg),205.0,1659.05
2015-11,,Packets (5kg - 10kg),4060.0,1394.17
2015-11,,Sub Total,197806.38,1300.13
2015-11,Instant,Packets (>3kg),246308.96,1029.29
2015-11,,Sub Total,246308.96,1029.29
2015-11,,Total Exports (Without RTD),25752021.37,573.38
2015-11,RTD,RTD ( Liters ),23.0,125.3
2015-11,,Sub Total,23.0,125.3
2015-11,,,26368972.03,584.14
2015-12,Black,Bags,1493874.67,1238.31
2015-12,,Bulk,10039960.81,511.98
2015-12,,Packets (4g - 1kg),8151173.9,573.45
2015-12,,Packets (1kg - 3kg),88764.16,683.95
2015-12,,Packets (3kg - 5kg),1267874.0,507.8
2015-12,,Packets (5kg - 10kg),3185201.08,465.77
2015-12,,Sub Total,24226848.62,571.79
2015-12,Green,Bags,53913.59,2627.69
2015-12,,Bulk,113135.0,681.82
2015-12,,Packets (4g - 1kg),45385.59,1420.75
2015-12,,Packets (3kg - 5kg),222.0,1526.96
2015-12,,Packets (5kg - 10kg),810.0,917.04
2015-12,,Sub Total,213466.18,1332.15
2015-12,Instant,Packets (>3kg),232594.8,1020.43
2015-12,,Sub Total,232594.8,1020.43
2015-12,,Total Exports (Without RTD),24672909.6,582.59
2015-12,,,25432677.21,593.39
